"Qty","Reference","Value","Manufacturer_Name","Manufacturer_Part_Number","Description","LCSC"
"1","R1","124K","","","","C2902861"
"2","R2,R4","22.1K","","","","C865310"
"1","R3","73.2K","","","","C422816"
"1","R5","3K","","","","C17661"
"1","R6","820R","","","","C17837"
"3","R7,R18,R19","560R","","","","C28636"
"4","R8,R9,R13,R14","10K","","","","C17414"
"1","R11","2K","","","","C17604"
"1","R15","6k8","","","","C17772"
"1","RPiPico1","Raspberry Pi Pico","","","",""
"1","IC3","MCP2562FD","NXP","TJA1042T/3/1J","High-Speed CAN Transceiver, 1Mbps, 5V supply, Vio pin, -40C to +125C, SOIC-8","C511335"
"2","IC1,IC6","TPS54228DR","Texas Instruments","TPS54228DDAR","4.5V to 18V Input, 2-A Synchronous Step-Down Converter with Eco-mode&#153;","C263275"
"1","Y1","ABM-40MHZ","ABRACON","ABM3-40.000MHZ-B2-T","40 MHz +/-20ppm Crystal 18pF 25 Ohms 2-SMD, No Lead","C1986264"
"2","J1,J2","RJ45","Adam Tech","MTJ-880X1","Conn Modular Jack F 8 POS 1.27mm Solder RA Thru-Hole 8 Terminal 1 Port Cat 5/Cat 5e","C7235899"
"1","IC2","MCP2518FD","Microchip","MCP2518FDT-E/SL","CAN Interface IC Stand-alone Low Power CAN FD Controller w/SPI Interface Grade1","C626758"
"1","IC5","256Kb","ROHM Semiconductor ","BR24G256F-5E2 ","EEPROM ICs, Memory, 256KBit, I&sup2;C BUS, High Endurance, Low Power Serial EEPROM","C90485"
"3","SW1,SW2,SW3","button","Same Sky","TS11-674-43-BK-160-RA-D","Tactile Switches 6 x 7.4 mm 4.3 mm 160 gf Black Right Angle Through Hole SPST","C318884"
"1","Q1","DMG2305UX-7","Diodes Incorporated","DMG2305UX-7","MOSFET P-Ch 20V 5A Enhancement SOT23 Diodes Inc DMG2305UX-7 P-channel MOSFET Transistor, -3.3 A, -20 V, 3-Pin SOT-23","C150470"
"2","F1,F2","0ZCG0050AF2C","Bel","0ZCG0050AF2C","Resettable Fuses - PPTC","C3762102"
"1","L1","3.3uH","Murata Electronics","1277AS-H-3R3M=P2","Ind,3.2x2.5x1mm,3.3uH+/-20%,3.1A,shd","C337905"
"1","L2","4.7uH","Murata","1276AS-H-4R7M=P2 ","Ind,3.2x2.5x1mm,4.7uH+/-20%,3.1A,shd","C1330201"
"5","C1,C3,C6,C15,C19","100nF","","","Unpolarized capacitor, small symbol","C49678"
"1","C2","470uF","","","Polarized capacitor, small symbol","C48935389"
"7","C4,C5,C8,C9,C10,C11,C12","22uF","","","Unpolarized capacitor, small symbol","C45783"
"2","C7,C18","1uF","","","Unpolarized capacitor, small symbol","C28323"
"2","C13,C14","22pF","","","Unpolarized capacitor, small symbol","C1804"
"1","C16","4.7uF","","","Unpolarized capacitor, small symbol","C1779"
"2","C17,C22","10nF","","","Unpolarized capacitor, small symbol","C1710"
"6","D1,D4,D5,D7,D8,D12","LED","","","","C2297"
"4","D2,D3,D9,D10","M7","","","Diode","C22448047"
"1","J3","LCC Pwr Sel","","","Switch, single pole double throw",""
"1","J4","I/O - 2","","","",""
"2","J5,J7","External Power","","","Generic screw terminal, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/),Generic screw terminal, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"2","J6,J12","Power Sel","","","Switch, single pole double throw",""
"1","J15","Analog I/O","","","Generic connector, double row, 02x03, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",""
"1","J20","Barrel Jack","","","","C431534"
"1","J21","I/O - 1","","","",""
"1","J24","Ext. Reset","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"1","J27","MasterPower","","","Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",""
