Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,130.5375,-114.2445,180.0,top
C10,22uF,C_0805_2012Metric,134.0125,-108.7095,0.0,top
C13,22pF,C_0805_2012Metric,121.11,-95.4025,90.0,top
C14,22pF,C_0805_2012Metric,125.41,-95.3025,90.0,top
C15,100nF,C_0805_2012Metric,106.29,-95.09,0.0,top
C16,4.7uF,C_0805_2012Metric,105.06,-103.7,90.0,top
C17,10nF,C_0805_2012Metric,140.5875,-107.2945,90.0,top
C19,100nF,C_0805_2012Metric,101.95,-103.75,90.0,top
C2,470uF,CP_Elec_8x10.5,139.7,-123.3,90.0,top
C4,22uF,C_0805_2012Metric,168.75,-84.15,0.0,top
C6,100nF,C_0805_2012Metric,120.335,-106.94,0.0,top
C7,1uF,C_0805_2012Metric,144.3375,-110.0945,90.0,top
C8,22uF,C_0805_2012Metric,134.8,-117.3,0.0,top
C9,22uF,C_0805_2012Metric,134.0125,-106.0945,0.0,top
D1,LED,LED_0805_2012Metric,169.05,-91.0625,180.0,top
D12,LED,LED_0805_2012Metric,169.05,-100.35,180.0,top
D2,M7,D_SMA,127.8,-127.9,180.0,top
D3,M7,D_SMA,157.2,-118.6,90.0,top
D4,LED,LED_0805_2012Metric,125.9515,-123.3,90.0,top
D7,LED,LED_0805_2012Metric,126.1015,-113.93125,90.0,top
F1,0ZCG0050AF2C,FUSC4632X70N,161.15,-112.26,90.0,top
F2,0ZCG0050AF2C,FUSC4632X70N,117.95,-121.51,-90.0,top
G***,LOGO,lcc-logo-registered-medium,168.55,-53.85,0.0,top
G***,LOGO,lcc-logo-registered-medium,147.35,-83.45,0.0,top
G***,LOGO,lcc-logo-registered-medium,159.7,-80.15,0.0,bottom
IC2,MCP2518FD,SOIC-14_3.9x8.7mm_P1.27mm,113.69,-97.59,0.0,top
IC3,MCP2562FD,SOIC-8_3.9x4.9mm_P1.27mm,110.36,-104.59,270.0,top
IC5,256Kb,SOIC127P600X175-8N,164.0,-77.3,-90.0,top
IC6,TPS54228DR,SOIC127P600X170-9N,138.4505,-113.0495,180.0,top
J12,Power Sel,SLW8645872ARAND,155.87,-98.7875,90.0,top
L2,4.7uH,L_1210_3225Metric,129.7375,-110.4945,90.0,top
Q1,DMG2305UX-7,SOT96P240X115-3N,155.4,-77.6,180.0,top
R1,124K,R_0805_2012Metric,150.1195,-111.4375,90.0,top
R13,10K,R_0805_2012Metric,164.255,-84.1,0.0,top
R14,10K,R_0805_2012Metric,160.4,-83.55,-90.0,top
R15,6k8,R_0805_2012Metric,106.2475,-98.64,180.0,top
R18,560R,R_0805_2012Metric,169.1,-93.4625,180.0,top
R19,560R,R_0805_2012Metric,169.05,-102.8,180.0,top
R2,22.1K,R_0805_2012Metric,147.1195,-108.2375,90.0,top
R5,3K,R_0805_2012Metric,128.8015,-123.2375,90.0,top
R6,820R,R_0805_2012Metric,126.1015,-108.98125,-90.0,top
R8,10K,R_0805_2012Metric,146.5515,-115.5875,0.0,top
REF**,power-usage-100mA,power-usage-100mA,159.28,-122.35,0.0,bottom
REF**,power-usage-100mA,power-usage-100mA,158.775,-116.05,0.0,bottom
SW1,button,SW_Push_1P1T_XKB_TS-1187A,106.555,-60.44,0.0,top
SW2,button,SW_Push_1P1T_XKB_TS-1187A,174.35,-102.2,90.0,top
SW3,button,SW_Push_1P1T_XKB_TS-1187A,174.3375,-92.975,90.0,top
Y1,ABM-40MHZ,ABM3,123.16,-101.3025,0.0,top
