Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0805_2012Metric,162.1,-124.662,180.0,top
C10,22uF,C_0805_2012Metric,165.485,-117.425,-90.0,top
C11,22uF,C_0805_2012Metric,149.426,-117.051,-90.0,top
C12,22uF,C_0805_2012Metric,146.276,-117.051,-90.0,top
C13,22pF,C_0805_2012Metric,139.49,-112.51,-90.0,top
C14,22pF,C_0805_2012Metric,135.19,-112.61,-90.0,top
C15,100nF,C_0805_2012Metric,122.8,-96.9,0.0,top
C16,4.7uF,C_0805_2012Metric,121.57,-105.51,90.0,top
C17,10nF,C_0805_2012Metric,171.15,-117.487,90.0,top
C18,1uF,C_0805_2012Metric,155.376,-120.676,90.0,top
C19,100nF,C_0805_2012Metric,118.46,-105.56,90.0,top
C2,470uF,CP_Elec_8x10.5,187.5,-125.4,180.0,top
C22,10nF,C_0805_2012Metric,152.226,-117.051,90.0,top
C3,100nF,C_0805_2012Metric,143.476,-124.926,0.0,top
C4,22uF,C_0805_2012Metric,168.755,-84.3,0.0,top
C5,22uF,C_0805_2012Metric,148.201,-127.376,0.0,top
C6,100nF,C_0805_2012Metric,128.99,-111.7725,180.0,top
C7,1uF,C_0805_2012Metric,174.4,-120.287,90.0,top
C8,22uF,C_0805_2012Metric,167.3,-127.387,180.0,top
C9,22uF,C_0805_2012Metric,168.1,-117.425,-90.0,top
D1,LED,LED_0805_2012Metric,189.6375,-63.2375,180.0,top
D10,M7,D_SMA,188.7,-117.95,0.0,top
D12,LED,LED_0805_2012Metric,189.6375,-72.525,180.0,top
D2,M7,D_SMA,126.4,-119.8,180.0,top
D3,M7,D_SMA,126.4,-116.2,180.0,top
D4,LED,LED_0805_2012Metric,123.4,-126.25,0.0,top
D5,LED,LED_0805_2012Metric,195.95,-94.75,180.0,top
D7,LED,LED_0805_2012Metric,163.15,-112.587,0.0,top
D8,LED,LED_0805_2012Metric,145.7,-112.366,0.0,top
D9,M7,D_SMA,188.7,-113.4,0.0,top
F1,0ZCG0050AF2C,FUSC4632X70N,118.0,-111.705,90.0,top
F2,0ZCG0050AF2C,FUSC4632X70N,118.0,-124.705,-90.0,top
IC1,TPS54228DR,SOIC127P600X170-9N,149.688,-123.071,180.0,top
IC2,MCP2518FD,SOIC-14_3.9x8.7mm_P1.27mm,130.2,-99.4,0.0,top
IC3,MCP2562FD,SOIC-8_3.9x4.9mm_P1.27mm,126.87,-106.4,270.0,top
IC5,256Kb,SOIC127P600X175-8N,164.0,-77.55,-90.0,top
IC6,TPS54228DR,SOIC127P600X170-9N,168.513,-123.242,180.0,top
J6,Power Sel,SLW8645872ARAND,155.555,-59.84,90.0,top
L1,3.3uH,L_1210_3225Metric,142.776,-121.076,90.0,top
L2,4.7uH,L_1210_3225Metric,161.3,-120.912,90.0,top
Q1,DMG2305UX-7,SOT96P240X115-3N,155.4,-77.6,180.0,top
R1,124K,R_0805_2012Metric,175.3625,-112.862,180.0,top
R11,2K,R_0805_2012Metric,191.2175,-94.73,0.0,top
R13,10K,R_0805_2012Metric,162.4,-85.2875,90.0,top
R14,10K,R_0805_2012Metric,160.25,-83.4375,-90.0,top
R15,6k8,R_0805_2012Metric,122.7575,-100.45,180.0,top
R18,560R,R_0805_2012Metric,189.6875,-65.6375,180.0,top
R19,560R,R_0805_2012Metric,189.6375,-74.975,180.0,top
R2,22.1K,R_0805_2012Metric,175.4,-115.687,180.0,top
R3,73.2K,R_0805_2012Metric,156.55,-112.566,0.0,top
R4,22.1K,R_0805_2012Metric,156.55,-115.416,180.0,top
R5,3K,R_0805_2012Metric,128.2625,-126.25,180.0,top
R6,820R,R_0805_2012Metric,168.1,-112.587,180.0,top
R7,560R,R_0805_2012Metric,150.7125,-112.416,180.0,top
R8,10K,R_0805_2012Metric,174.3,-127.062,-90.0,top
R9,10K,R_0805_2012Metric,155.476,-126.726,90.0,top
SW1,button,SW_Push_1P1T_XKB_TS-1187A,104.75,-62.425,0.0,top
SW2,button,SW_Push_1P1T_XKB_TS-1187A,194.9375,-74.375,90.0,top
SW3,button,SW_Push_1P1T_XKB_TS-1187A,194.925,-65.15,90.0,top
Y1,ABM-40MHZ,ABM3,137.44,-106.61,180.0,top
